ID,Age,Sex,trialID,csfront_size,csback_size,ss_defaultSize,ss_adjustedSize
001,27,Male,0,0.20000000000000004,0.26000000000000006,0.13,0.20000000000000007,close
001,27,Male,1,0.30000000000000004,0.39000000000000007,0.28,0.32000000000000006,close
001,27,Male,2,0.1,0.18000000000000002,0.28,0.1099999999999999,far
001,27,Male,3,0.15000000000000002,0.2700000000000001,0.18,0.16999999999999998,far
001,27,Male,4,0.30000000000000004,0.5400000000000001,0.18,0.3000000000000001,far
001,27,Male,5,0.15000000000000002,0.19500000000000003,0.23000000000000004,0.15999999999999998,close
001,27,Male,6,0.25000000000000006,0.32500000000000007,0.33,0.24999999999999994,close
001,27,Male,7,0.1,0.13,0.13,0.10000000000000002,close
001,27,Male,8,0.25000000000000006,0.4500000000000001,0.33,0.24999999999999994,far
001,27,Male,9,0.20000000000000004,0.3600000000000001,0.08,0.23000000000000007,far
